/*
* Licencia con arreglo a la EUPL, Versión 1.2 o –en cuanto sean aprobadas por la
Comisión Europea– versiones posteriores de la EUPL (la «Licencia»);
* Solo podrá usarse esta obra si se respeta la Licencia.
* Puede obtenerse una copia de la Licencia en:
* http://joinup.ec.europa.eu/software/page/eupl/licence-eupl
* Salvo cuando lo exija la legislación aplicable o se acuerde por escrito, el programa
distribuido con arreglo a la Licencia se distribuye «TAL CUAL», SIN GARANTÍAS NI
CONDICIONES DE NINGÚN TIPO, ni expresas ni implícitas.
* Véase la Licencia en el idioma concreto que rige los permisos y limitaciones que
establece la Licencia.
*/




"pasaje  a","pasaje  a","pasaje a"
"autovía  a-1","autovía  a-1","autovía a-1"
"autovía  a-2","autovía  a-2","autovía a-2"
"autovía  a-3","autovía  a-3","autovía a-3"
"autovía  a-4","autovía  a-4","autovía a-4"
"autovía  a-42","autovía  a-42","autovía a-42"
"autovía  a-5","autovía  a-5","autovía a-5"
"autovía  a-6","autovía  a-6","autovía a-6"
"calle de almazán","calle de almazán","calle almazán","almazán"
"calle de la almazara","calle de la almazara","calle almazara","almazara"
"calle de almedina","calle de almedina","calle almedina","almedina"
"camino de la almenara","camino de la almenara","camino almenara"
"calle de las almenas","calle de las almenas","calle almenas","almenas"
"calle de almendralejo","calle de almendralejo","calle almendralejo","almendralejo"
"calle de los almendrales","calle de los almendrales","calle almendrales","almendrales"
"glorieta de la almendrera","glorieta de la almendrera","glorieta almendrera"
"calle del almendro","calle del almendro","calle almendro","almendro"
"travesía del almendro","travesía del almendro","travesía almendro"
"calle de almería","calle de almería","calle almería","almería"
"calle del almez","calle del almez","calle almez","almez"
"calle del almirante","calle del almirante","calle almirante","almirante"
"calle del almirante requesens","calle del almirante requesens","calle almirante requesens","almirante requesens"
"plaza de almodóvar","plaza de almodóvar","plaza almodóvar"
"calle de almogía","calle de almogía","calle almogía","almogía"
"calle de almonacid","calle de almonacid","calle almonacid","almonacid"
"calle de almonte","calle de almonte","calle almonte","almonte"
"calle de almoradí","calle de almoradí","calle almoradí","almoradí"
"calle de almorox","calle de almorox","calle almorox","almorox"
"calle de las almortas","calle de las almortas","calle almortas","almortas"
"calle de la almudena","calle de la almudena","calle almudena","almudena"
"plaza de almuñécar","plaza de almuñécar","plaza almuñécar"
"calle de almuradiel","calle de almuradiel","calle almuradiel","almuradiel"
"calle del áloe vera","calle del áloe vera","calle áloe vera","áloe vera"
"calle de la alondra","calle de la alondra","calle alondra","alondra"
"calle de alonso cano","calle de alonso cano","calle alonso cano","alonso cano"
"calle de alonso carbonell","calle de alonso carbonell","calle alonso carbonell","alonso carbonell"
"pasaje de alonso carbonell","pasaje de alonso carbonell","pasaje alonso carbonell"
"calle de alonso castrillo","calle de alonso castrillo","calle alonso castrillo","alonso castrillo"
"calle de alonso de contreras","calle de alonso de contreras","calle alonso de contreras","alonso de contreras"
"calle de alonso del barco","calle de alonso del barco","calle alonso del barco","alonso del barco"
"calle de alonso fernández","calle de alonso fernández","calle alonso fernández","alonso fernández"
"calle de alonso heredia","calle de alonso heredia","calle alonso heredia","alonso heredia"
"plaza de alonso martínez","plaza de alonso martínez","plaza alonso martínez"
"calle de alonso martos","calle de alonso martos","calle alonso martos","alonso martos"
"calle de alonso núñez","calle de alonso núñez","calle alonso núñez","alonso núñez"
"calle de alonso quijano","calle de alonso quijano","calle alonso quijano","alonso quijano"
"calle de alonso saavedra","calle de alonso saavedra","calle alonso saavedra","alonso saavedra"
"calle de alonso zamora vicente","calle de alonso zamora vicente","calle alonso zamora vicente","alonso zamora vicente"
"calle de alora","calle de alora","calle alora","alora"
"plaza de alosno","plaza de alosno","plaza alosno"
"calle de alozaina","calle de alozaina","calle alozaina","alozaina"
"calle de alpedrete","calle de alpedrete","calle alpedrete","alpedrete"
"calle de los alpes","calle de los alpes","calle alpes","alpes"
"calle de las alpujarras","calle de las alpujarras","calle alpujarras","alpujarras"
"calle de la alquimia","calle de la alquimia","calle alquimia","alquimia"
"plaza de alsacia","plaza de alsacia","plaza alsacia"
"calle de alsasua","calle de alsasua","calle alsasua","alsasua"
"calle de altair","calle de altair","calle altair","altair"
"calle de altamira","calle de altamira","calle altamira","altamira"
"calle de altamirano","calle de altamirano","calle altamirano","altamirano"
"calle de altea","calle de altea","calle altea","altea"
"camino  alto de hortaleza","camino  alto de hortaleza","camino alto de hortaleza"
"calle del alto de la sartenilla","calle del alto de la sartenilla","calle alto de la sartenilla","alto de la sartenilla"
"camino  alto de san isidro","camino  alto de san isidro","camino alto de san isidro"
"calle del alto del esparragal","calle del alto del esparragal","calle alto del esparragal","alto del esparragal"
"calle del alto del león","calle del alto del león","calle alto del león","alto del león"
"calle del alto del retiro","calle del alto del retiro","calle alto del retiro","alto del retiro"
"calle de los altos de cabrejas","calle de los altos de cabrejas","calle altos de cabrejas","altos de cabrejas"
"calle de los altos de lillo","calle de los altos de lillo","calle altos de lillo","altos de lillo"
"calle de los altos de saceruela","calle de los altos de saceruela","calle altos de saceruela","altos de saceruela"
"calle del altozano","calle del altozano","calle altozano","altozano"
"calle de alucas","calle de alucas","calle alucas","alucas"
"calle del aluminio","calle del aluminio","calle aluminio","aluminio"
"calle de alustante","calle de alustante","calle alustante","alustante"
"calle de alvarado","calle de alvarado","calle alvarado","alvarado"
"calle de álvarez","calle de álvarez","calle álvarez","álvarez"
"calle de álvarez abellán","calle de álvarez abellán","calle álvarez abellán","álvarez abellán"
"calle de álvarez cienfuegos","calle de álvarez cienfuegos","calle álvarez cienfuegos","álvarez cienfuegos"
"calle de álvarez de baena","calle de álvarez de baena","calle álvarez de baena","álvarez de baena"
"calle de álvarez gato","calle de álvarez gato","calle álvarez gato","álvarez gato"
"calle de álvaro caballero","calle de álvaro caballero","calle álvaro caballero","álvaro caballero"
"calle de álvaro cunqueiro","calle de álvaro cunqueiro","calle álvaro cunqueiro","álvaro cunqueiro"
"calle de la alverja","calle de la alverja","calle alverja","alverja"
"calle de alzina","calle de alzina","calle alzina","alzina"
"calle de alzola","calle de alzola","calle alzola","alzola"
"calle de amadeo fernández","calle de amadeo fernández","calle amadeo fernández","amadeo fernández"
"calle de amadeo gómez","calle de amadeo gómez","calle amadeo gómez","amadeo gómez"
"calle de amadeo i","calle de amadeo i","calle amadeo i","amadeo i"
"calle de amado nervo","calle de amado nervo","calle amado nervo","amado nervo"
"calle de amador de los ríos","calle de amador de los ríos","calle amador de los ríos","amador de los ríos"
"calle de amador valdés","calle de amador valdés","calle amador valdés","amador valdés"
"calle de amador y fernando","calle de amador y fernando","calle amador y fernando","amador y fernando"
"plaza de amaia imaz","plaza de amaia imaz","plaza amaia imaz"
"calle de amalarico","calle de amalarico","calle amalarico","amalarico"
"pasaje de amalarico","pasaje de amalarico","pasaje amalarico"
"calle de amalia","calle de amalia","calle amalia","amalia"
"calle de amalia marcos","calle de amalia marcos","calle amalia marcos","amalia marcos"
"travesía de amalia marcos","travesía de amalia marcos","travesía amalia marcos"
"calle de amaltea","calle de amaltea","calle amaltea","amaltea"
"calle del amanecer","calle del amanecer","calle amanecer","amanecer"
"plaza del amanecer en méndez álvaro","plaza del amanecer en méndez álvaro","plaza amanecer en méndez álvaro"
"calle de amaniel","calle de amaniel","calle amaniel","amaniel"
"calle de las amapolas","calle de las amapolas","calle amapolas","amapolas"
"calle de amara","calle de amara","calle amara","amara"
"camino de amarguilla","camino de amarguilla","camino amarguilla"
"calle de la amargura","calle de la amargura","calle amargura","amargura"
"calle de amaya","calle de amaya","calle amaya","amaya"
"calle de las amazonas","calle de las amazonas","calle amazonas","amazonas"
"calle del ámbar","calle del ámbar","calle ámbar","ámbar"
"calle de amberes","calle de amberes","calle amberes","amberes"
"pasaje de ambite","pasaje de ambite","pasaje ambite"
"calle de ambros","calle de ambros","calle ambros","ambros"
"calle de ambrosio vallejo","calle de ambrosio vallejo","calle ambrosio vallejo","ambrosio vallejo"
"calle de ambroz","calle de ambroz","calle ambroz","ambroz"
"camino de ambroz","camino de ambroz","camino ambroz"
"travesía de ambroz","travesía de ambroz","travesía ambroz"
"camino de ambroz a coslada","camino de ambroz a coslada","camino ambroz a coslada"
"avenida de américa","avenida de américa","avenida américa"
"plaza de américa española","plaza de américa española","plaza américa española"
"calle del americio","calle del americio","calle americio","americio"
"calle de américo castro","calle de américo castro","calle américo castro","américo castro"
"calle de ameyugo","calle de ameyugo","calle ameyugo","ameyugo"
"calle de la amistad","calle de la amistad","calle amistad","amistad"
"calle de la amnistía","calle de la amnistía","calle amnistía","amnistía"
"calle del amor de dios","calle del amor de dios","calle amor de dios","amor de dios"
"calle del amor hermoso","calle del amor hermoso","calle amor hermoso","amor hermoso"
"calle de amorebieta","calle de amorebieta","calle amorebieta","amorebieta"
"calle de amorós","calle de amorós","calle amorós","amorós"
"calle de amós de escalante","calle de amós de escalante","calle amós de escalante","amós de escalante"
"calle de amparo","calle de amparo","calle amparo","amparo"
"calle de amparo usera","calle de amparo usera","calle amparo usera","amparo usera"
"calle de ampelido","calle de ampelido","calle ampelido","ampelido"
"calle de amposta","calle de amposta","calle amposta","amposta"
"calle de ampuero","calle de ampuero","calle ampuero","ampuero"
"calle de amsterdam","calle de amsterdam","calle amsterdam","amsterdam"
"calle de amurrio","calle de amurrio","calle amurrio","amurrio"
"calle de ana albi","calle de ana albi","calle ana albi","ana albi"
"calle de ana de austria","calle de ana de austria","calle ana de austria","ana de austria"
"plazuela de ana diosdado","plazuela de ana diosdado","plazuela ana diosdado"
"calle de ana maría","calle de ana maría","calle ana maría","ana maría"
"plaza de ana maría janer","plaza de ana maría janer","plaza ana maría janer"
"calle de ana mariscal","calle de ana mariscal","calle ana mariscal","ana mariscal"
"calle de ana teresa","calle de ana teresa","calle ana teresa","ana teresa"
"calle del ánade","calle del ánade","calle ánade","ánade"
"calle de anastasia lópez","calle de anastasia lópez","calle anastasia lópez","anastasia lópez"
"calle de anastasio aroca","calle de anastasio aroca","calle anastasio aroca","anastasio aroca"
"calle de anastasio herrero","calle de anastasio herrero","calle anastasio herrero","anastasio herrero"
"pasaje de anchuelo","pasaje de anchuelo","pasaje anchuelo"
"pasaje de los ancianos","pasaje de los ancianos","pasaje ancianos"
"calle de anciú","calle de anciú","calle anciú","anciú"
"calle del áncora","calle del áncora","calle áncora","áncora"
"pasaje del áncora","pasaje del áncora","pasaje áncora"
"calle de los andaluces","calle de los andaluces","calle andaluces","andaluces"
"calle de los andaluces del pozo","calle de los andaluces del pozo","calle andaluces del pozo","andaluces del pozo"
"avenida de andalucía","avenida de andalucía","avenida andalucía"
"calle de andalucía","calle de andalucía","calle andalucía","andalucía"
"carretera de andalucía","carretera de andalucía","carretera andalucía"
"calle del andarríos","calle del andarríos","calle andarríos","andarríos"
"avenida de los andes","avenida de los andes","avenida andes"
"calle de andévalo","calle de andévalo","calle andévalo","andévalo"
"calle de andorra","calle de andorra","calle andorra","andorra"
"calle de andrea jordán","calle de andrea jordán","calle andrea jordán","andrea jordán"
"calle de andrea puech","calle de andrea puech","calle andrea puech","andrea puech"
"calle de andrés antón","calle de andrés antón","calle andrés antón","andrés antón"
"calle de andrés arteaga","calle de andrés arteaga","calle andrés arteaga","andrés arteaga"
"plaza de andrés arteaga","plaza de andrés arteaga","plaza andrés arteaga"
"calle de andrés bello","calle de andrés bello","calle andrés bello","andrés bello"
"calle de andrés borrego","calle de andrés borrego","calle andrés borrego","andrés borrego"
"calle de andrés de urdaneta","calle de andrés de urdaneta","calle andrés de urdaneta","andrés de urdaneta"
"calle de andrés herranz","calle de andrés herranz","calle andrés herranz","andrés herranz"
"plaza de andrés jáuregui","plaza de andrés jáuregui","plaza andrés jáuregui"
"plaza de andrés manjón","plaza de andrés manjón","plaza andrés manjón"
"calle de andrés mellado","calle de andrés mellado","calle andrés mellado","andrés mellado"
"travesía de andrés mellado","travesía de andrés mellado","travesía andrés mellado"
"calle de andrés obispo","calle de andrés obispo","calle andrés obispo","andrés obispo"
"plaza de andrés segovia","plaza de andrés segovia","plaza andrés segovia"
"plaza de andrés soloaga","plaza de andrés soloaga","plaza andrés soloaga"
"calle de andrés tamayo","calle de andrés tamayo","calle andrés tamayo","andrés tamayo"
"calle de andrés torrejón","calle de andrés torrejón","calle andrés torrejón","andrés torrejón"
"calle de andrómeda","calle de andrómeda","calle andrómeda","andrómeda"
"calle de andújar","calle de andújar","calle andújar","andújar"
"calle de las anémonas","calle de las anémonas","calle anémonas","anémonas"
"calle del ángel","calle del ángel","calle ángel","ángel"
"plaza del ángel","plaza del ángel","plaza ángel"
"calle de ángel beato","calle de ángel beato","calle ángel beato","ángel beato"
"glorieta del ángel caído","glorieta del ángel caído","glorieta ángel caído"
"plaza de ángel carbajo","plaza de ángel carbajo","plaza ángel carbajo"
